label,support,predicted_positive,f1,precision,recall
Black,7120,8313,0.819153761420333,0.76037531577048,0.8877808988764045
White,5222,7767,0.703056432365848,0.5878717651602936,0.8743776330907698
Brown,3330,5084,0.6774423579748039,0.560582218725413,0.8558558558558559
Red,2403,4152,0.6263920671243326,0.4944605009633911,0.8543487307532251
Pink,2480,4865,0.6036759700476515,0.4557040082219938,0.8939516129032258
Navy,2511,4769,0.6010989010989011,0.4587963933738729,0.8713659896455596
Blue,3425,7404,0.5773386277587959,0.4222042139384117,0.9127007299270073
Silver,1265,2368,0.5692265345444536,0.43665540540540543,0.8173913043478261
Grey,2846,6321,0.5338714955819789,0.38712229077677585,0.859803232607168
Beige,2573,6022,0.5219313554392089,0.3724676187313185,0.8717450446949087
