label,support,predicted_positive,f1,precision,recall
Burgundy,245,669,0.26258205689277897,0.17937219730941703,0.4897959183673469
Multiple Colors,1205,3553,0.3291298865069357,0.2203771460737405,0.649792531120332
Khaki,835,2138,0.3975782038345106,0.2764265668849392,0.7077844311377246
Orange,1021,2674,0.427063599458728,0.2950635751682872,0.7727717923604309
Green,2130,5624,0.4962599948413722,0.34210526315789475,0.9032863849765258
Transparent,350,681,0.49660523763336567,0.37591776798825255,0.7314285714285714
Yellow,1450,2949,0.5164810184132758,0.38521532722956936,0.783448275862069
Gold,814,1454,0.5246913580246914,0.4092159559834938,0.730958230958231
Beige,2573,5824,0.5304275336429677,0.38238324175824173,0.8655266226195103
Purple,1004,1745,0.5449254274281556,0.4292263610315186,0.7460159362549801
Silver,1265,2577,0.5580426861009891,0.41598758246022505,0.8474308300395257
Navy,2511,5437,0.5649219929542023,0.4129115320949053,0.8940661091198726
Grey,2846,5514,0.5720095693779904,0.43362350380848746,0.8401264933239635
Blue,3425,6874,0.5994756772502184,0.44908350305498984,0.9013138686131387
Red,2403,4425,0.6057410661980082,0.4673446327683616,0.8605909280066584
Pink,2480,4313,0.6330045635212719,0.4984929283561326,0.8669354838709677
Brown,3330,5109,0.6825453252755066,0.5637110980622431,0.8648648648648649
White,5222,7998,0.6936459909228442,0.5732683170792698,0.8780160857908847
Black,7120,7284,0.8218550402665926,0.8126029654036244,0.8313202247191012
